"","GEOID","full_geoid","male_white_age18to19","male_white_age20to24","male_white_age25to29","male_white_age30to34","male_white_age35to44","male_white_age45to54","male_white_age55to64","male_white_age65to74","male_white_age75to84","male_white_age85over","female_white_age18to19","female_white_age20to24","female_white_age25to29","female_white_age30to34","female_white_age35to44","female_white_age45to54","female_white_age55to64","female_white_age65to74","female_white_age75to84","female_white_age85over","male_black_age18to19","male_black_age20to24","male_black_age25to29","male_black_age30to34","male_black_age35to44","male_black_age45to54","male_black_age55to64","male_black_age65to74","male_black_age75to84","male_black_age85over","female_black_age18to19","female_black_age20to24","female_black_age25to29","female_black_age30to34","female_black_age35to44","female_black_age45to54","female_black_age55to64","female_black_age65to74","female_black_age75to84","female_black_age85over","male_aian_age18to19","male_aian_age20to24","male_aian_age25to29","male_aian_age30to34","male_aian_age35to44","male_aian_age45to54","male_aian_age55to64","male_aian_age65to74","male_aian_age75to84","male_aian_age85over","female_aian_age18to19","female_aian_age20to24","female_aian_age25to29","female_aian_age30to34","female_aian_age35to44","female_aian_age45to54","female_aian_age55to64","female_aian_age65to74","female_aian_age75to84","female_aian_age85over","male_asian_age18to19","male_asian_age20to24","male_asian_age25to29","male_asian_age30to34","male_asian_age35to44","male_asian_age45to54","male_asian_age55to64","male_asian_age65to74","male_asian_age75to84","male_asian_age85over","female_asian_age18to19","female_asian_age20to24","female_asian_age25to29","female_asian_age30to34","female_asian_age35to44","female_asian_age45to54","female_asian_age55to64","female_asian_age65to74","female_asian_age75to84","female_asian_age85over","male_nhpi_age18to19","male_nhpi_age20to24","male_nhpi_age25to29","male_nhpi_age30to34","male_nhpi_age35to44","male_nhpi_age45to54","male_nhpi_age55to64","male_nhpi_age65to74","male_nhpi_age75to84","male_nhpi_age85over","female_nhpi_age18to19","female_nhpi_age20to24","female_nhpi_age25to29","female_nhpi_age30to34","female_nhpi_age35to44","female_nhpi_age45to54","female_nhpi_age55to64","female_nhpi_age65to74","female_nhpi_age75to84","female_nhpi_age85over","male_other_age18to19","male_other_age20to24","male_other_age25to29","male_other_age30to34","male_other_age35to44","male_other_age45to54","male_other_age55to64","male_other_age65to74","male_other_age75to84","male_other_age85over","female_other_age18to19","female_other_age20to24","female_other_age25to29","female_other_age30to34","female_other_age35to44","female_other_age45to54","female_other_age55to64","female_other_age65to74","female_other_age75to84","female_other_age85over","male_mixed_age18to19","male_mixed_age20to24","male_mixed_age25to29","male_mixed_age30to34","male_mixed_age35to44","male_mixed_age45to54","male_mixed_age55to64","male_mixed_age65to74","male_mixed_age75to84","male_mixed_age85over","female_mixed_age18to19","female_mixed_age20to24","female_mixed_age25to29","female_mixed_age30to34","female_mixed_age35to44","female_mixed_age45to54","female_mixed_age55to64","female_mixed_age65to74","female_mixed_age75to84","female_mixed_age85over","male_w_nothisp_age18to19","male_w_nothisp_age20to24","male_w_nothisp_age25to29","male_w_nothisp_age30to34","male_w_nothisp_age35to44","male_w_nothisp_age45to54","male_w_nothisp_age55to64","male_w_nothisp_age65to74","male_w_nothisp_age75to84","male_w_nothisp_age85over","female_w_nothisp_age18to19","female_w_nothisp_age20to24","female_w_nothisp_age25to29","female_w_nothisp_age30to34","female_w_nothisp_age35to44","female_w_nothisp_age45to54","female_w_nothisp_age55to64","female_w_nothisp_age65to74","female_w_nothisp_age75to84","female_w_nothisp_age85over","male_hisp_age18to19","male_hisp_age20to24","male_hisp_age25to29","male_hisp_age30to34","male_hisp_age35to44","male_hisp_age45to54","male_hisp_age55to64","male_hisp_age65to74","male_hisp_age75to84","male_hisp_age85over","female_hisp_age18to19","female_hisp_age20to24","female_hisp_age25to29","female_hisp_age30to34","female_hisp_age35to44","female_hisp_age45to54","female_hisp_age55to64","female_hisp_age65to74","female_hisp_age75to84","female_hisp_age85over","BLACK_FEMALE","BLACK_MALE","BLACK_TOTAL","BLACK_18_to_24","BLACK_25_to_34","BLACK_35_to_44","BLACK_45_to_54","BLACK_55_to_64","BLACK_65_over","HISP_FEMALE","HISP_MALE","HISP_TOTAL","HISP_18_to_24","HISP_25_to_34","HISP_35_to_44","HISP_45_to_54","HISP_55_to_64","HISP_65_over","UNDERREP_FEMALE","UNDERREP_MALE","UNDERREP_TOTAL","UNDERREP_18_to_24","UNDERREP_25_to_34","UNDERREP_35_to_44","UNDERREP_45_to_54","UNDERREP_55_to_64","UNDERREP_65_over"
"11","53016","ZCTA5 53016",3,12,15,12,17,24,38,15,6,1,1,4,12,5,15,29,32,21,1,3,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,12,16,24,32,15,6,1,0,4,12,5,14,29,32,21,1,3,0,1,0,0,1,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,24,13,37,0,26,0,11,0,0,3,2,5,2,0,2,1,6,0,27,15,42,2,26,2,12,6,0
"12","53019","ZCTA5 53019",23,50,46,38,120,109,189,129,48,4,8,44,34,53,118,108,156,128,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,18,50,46,38,103,109,185,129,37,4,8,44,34,53,109,107,156,121,18,14,9,0,0,1,26,0,4,0,11,0,0,0,0,0,13,1,0,7,0,0,0,0,0,0,0,0,0,0,0,21,47,68,9,1,39,1,4,18,21,47,68,9,1,39,1,4,18
"13","53045","ZCTA5 53045",297,439,270,399,948,1130,1572,971,679,272,251,294,218,307,956,1376,1602,1098,1012,619,0,8,5,0,8,0,28,15,0,0,0,33,6,0,0,24,14,20,7,4,0,8,5,0,8,0,28,15,0,0,0,33,6,0,0,24,14,20,7,4,14,20,0,62,377,159,79,22,39,0,16,66,63,103,311,197,69,88,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,19,0,7,0,39,0,0,7,0,0,0,7,29,0,89,0,2,0,0,297,410,260,376,898,1093,1552,964,674,272,225,294,218,307,905,1341,1594,1098,1012,619,0,29,10,30,50,37,20,7,5,0,26,0,0,0,58,50,8,0,4,0,94,36,130,41,11,8,24,42,46,138,168,306,55,40,108,87,28,16,232,204,436,96,51,116,111,70,62
"14","53063","ZCTA5 53063",42,47,24,73,88,164,107,116,27,5,2,39,49,62,69,130,91,99,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,42,38,24,64,73,164,107,116,27,5,2,39,49,62,69,130,91,99,27,21,0,9,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,9,11,15,0,0,0,0,35,35,9,11,15,0,0,0
"15","53088","ZCTA5 53088",0,3,23,31,19,35,27,17,5,3,14,39,3,31,6,28,30,5,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,31,19,35,27,17,5,3,14,39,3,31,6,28,30,5,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","53098","ZCTA5 53098",61,351,327,352,716,731,850,466,216,196,118,216,270,389,559,708,922,594,408,361,3,7,70,49,0,23,72,7,0,0,2,0,0,0,83,0,0,7,0,9,3,7,70,49,0,23,72,7,0,0,2,0,0,0,83,0,0,7,0,9,10,0,0,0,0,3,19,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,13,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,22,11,0,0,23,0,46,0,0,61,343,311,341,698,725,842,453,216,169,86,177,246,358,535,663,897,594,372,353,0,8,17,11,35,6,8,13,5,27,32,77,35,31,30,45,38,0,36,8,101,159,260,12,119,83,23,72,23,294,122,416,117,94,65,51,46,89,395,281,676,129,213,148,74,118,112
"17","53103","ZCTA5 53103",30,104,61,83,191,366,326,250,131,9,9,32,70,66,185,249,371,207,128,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,5,0,30,104,61,83,181,366,318,250,131,9,9,32,70,59,185,235,353,199,128,16,0,13,0,2,10,0,18,0,0,0,0,0,10,7,0,30,18,8,0,0,0,2,2,0,2,0,0,0,0,55,25,80,13,19,10,30,36,8,55,27,82,13,21,10,30,36,8
"18","53115","ZCTA5 53115",96,379,594,449,839,1052,1069,732,311,177,151,404,398,425,792,1040,1043,811,489,275,10,0,0,0,24,31,0,0,0,0,0,27,0,18,0,0,0,61,0,0,10,0,0,0,24,31,0,0,0,0,0,27,0,18,0,0,0,61,0,0,0,33,33,20,0,41,0,0,0,0,0,0,4,9,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76,12,29,5,14,0,4,24,12,11,58,17,8,5,0,0,0,0,72,0,2,0,7,0,0,0,6,0,10,15,5,0,0,13,0,0,81,329,488,371,656,864,1021,685,304,177,104,296,345,352,699,853,987,777,416,275,15,50,180,78,259,221,84,52,21,0,51,143,75,117,151,204,64,39,73,0,106,65,171,37,18,24,31,0,61,853,876,1729,259,450,410,425,148,185,959,941,1900,296,468,434,456,148,246
"19","53119","ZCTA5 53119",44,195,148,159,266,466,537,285,98,3,67,231,128,180,290,466,490,353,48,18,0,0,0,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,9,0,2,0,10,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,34,195,148,153,252,456,525,285,98,3,67,231,128,164,290,466,490,353,48,18,10,0,0,6,19,10,12,3,0,0,0,9,0,18,0,10,0,0,0,0,8,0,8,8,0,0,0,24,0,37,48,85,19,24,19,20,12,3,45,48,93,27,24,19,20,36,3
"20","53151","ZCTA5 53151",384,750,751,780,1644,1966,2263,1823,815,254,183,792,887,764,1652,1839,2823,1833,1063,545,0,11,54,0,31,17,41,20,0,0,0,0,0,0,0,50,40,0,0,0,0,11,54,0,31,17,41,20,0,0,0,0,0,0,0,50,40,0,0,0,48,21,42,57,211,152,43,75,7,0,33,0,65,129,129,143,38,112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,29,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,51,8,24,9,14,0,0,3,20,8,0,0,0,0,34,6,26,43,0,0,0,0,384,750,731,780,1636,1966,2233,1811,815,254,183,770,872,749,1595,1831,2768,1818,1063,545,0,8,49,0,8,0,30,12,35,0,0,22,15,15,57,49,55,15,51,8,50,133,183,11,54,31,67,81,20,232,112,344,30,79,65,49,85,121,282,245,527,41,133,96,116,166,141
