"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"482","54112","ZCTA5 54112",832,95,396,276,65,761,55,327,254,125,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,6,6,0,0,0,2,2,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,11,0,0,0,0,0,0,832,95,396,276,65,756,50,327,254,125,2,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,9,7,2,9,0,0,0,9,7,2,9,0,0,0
"483","54119","ZCTA5 54119",213,14,111,64,24,196,8,91,62,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,213,14,111,64,24,196,8,91,62,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484","54937","ZCTA5 54937",6425,450,2072,2225,1678,7059,331,2447,2557,1724,34,0,13,0,21,237,30,48,105,54,33,0,11,0,22,60,3,22,35,0,102,0,11,43,48,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,64,16,0,48,0,40,10,0,0,30,52,18,23,0,11,56,0,9,40,7,6188,431,1946,2158,1653,6934,319,2415,2494,1706,312,35,137,115,25,180,22,35,68,55,271,237,34,30,61,105,75,492,180,312,57,172,183,80,763,417,346,87,233,288,155
"485","54022","ZCTA5 54022",6471,159,1621,2395,2296,6650,286,1364,1938,3062,43,6,11,8,18,16,0,0,16,0,9,0,9,0,0,15,0,6,0,9,14,0,9,5,0,62,0,15,32,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,20,0,0,9,11,46,1,0,0,45,77,0,33,21,23,6386,151,1620,2345,2270,6588,283,1340,1911,3054,96,9,1,50,36,82,3,24,36,19,59,16,43,6,11,24,18,178,82,96,12,25,86,55,237,98,139,18,36,110,73
"486","54560","ZCTA5 54560",258,5,97,122,34,195,1,27,76,91,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,5,97,122,34,195,1,27,76,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487","54531","ZCTA5 54531",540,27,152,205,156,511,29,147,136,199,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,6,6,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,2,3,534,27,152,205,150,511,29,147,136,199,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,6,0,6,0,0,0,6
"488","54550","ZCTA5 54550",229,5,56,108,60,211,2,68,91,50,0,0,0,0,0,0,0,0,0,0,41,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,5,56,108,60,211,2,68,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","54557","ZCTA5 54557",373,7,91,106,169,369,11,97,101,160,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,370,7,91,106,166,357,11,97,100,149,3,0,0,0,3,12,0,0,1,11,8,8,0,0,0,0,8,15,12,3,0,0,1,14,23,20,3,0,0,1,22
"490","54559","ZCTA5 54559",203,13,90,71,29,193,21,64,72,36,0,0,0,0,0,0,0,0,0,0,74,32,15,22,5,80,23,25,19,13,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,2,0,0,2,0,197,13,86,69,29,182,15,59,72,36,6,0,4,2,0,11,6,5,0,0,0,0,0,0,0,0,0,17,11,6,6,9,2,0,17,11,6,6,9,2,0
"491","54561","ZCTA5 54561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
