  -Block: 1001,Census Tract 32, Dane County, Wisconsin
  -Block: 1003,Census Tract 32, Dane County, Wisconsin
  -Block: 1005,Census Tract 32, Dane County, Wisconsin
  -Block: 1025,Census Tract 103, Dane County, Wisconsin
  -Block: 1023,Census Tract 103, Dane County, Wisconsin
  -Block: 3007,Census Tract 104, Dane County, Wisconsin
  -Block: 2036,Census Tract 105.01, Dane County, Wisconsin
  -Block: 2025,Census Tract 106, Dane County, Wisconsin
  -Block: 3015,Census Tract 106, Dane County, Wisconsin
  -Block: 5020,Census Tract 106, Dane County, Wisconsin
  -Block: 2025,Census Tract 108.02, Dane County, Wisconsin
  -Block: 2021,Census Tract 108.02, Dane County, Wisconsin
  -Block: 2013,Census Tract 109.06, Dane County, Wisconsin
  -Block: 2025,Census Tract 109.06, Dane County, Wisconsin
  -Block: 2031,Census Tract 109.08, Dane County, Wisconsin
  -Block: 3005,Census Tract 111.01, Dane County, Wisconsin
  -Block: 1001,Census Tract 111.01, Dane County, Wisconsin
  -Block: 1006,Census Tract 111.01, Dane County, Wisconsin
  -Block: 3000,Census Tract 111.03, Dane County, Wisconsin
  -Block: 1028,Census Tract 112.01, Dane County, Wisconsin
  -Block: 3024,Census Tract 112.02, Dane County, Wisconsin
  -Block: 1012,Census Tract 113.01, Dane County, Wisconsin
  -Block: 1010,Census Tract 113.01, Dane County, Wisconsin
  -Block: 3041,Census Tract 113.01, Dane County, Wisconsin
  -Block: 1041,Census Tract 113.01, Dane County, Wisconsin
  -Block: 3031,Census Tract 114.05, Dane County, Wisconsin
  -Block: 2002,Census Tract 115.06, Dane County, Wisconsin
  -Block: 1003,Census Tract 115.08, Dane County, Wisconsin
  -Block: 3000,Census Tract 118, Dane County, Wisconsin
  -Block: 1019,Census Tract 119, Dane County, Wisconsin
  -Block: 1030,Census Tract 119, Dane County, Wisconsin
  -Block: 1031,Census Tract 119, Dane County, Wisconsin
  -Block: 1053,Census Tract 119, Dane County, Wisconsin
  -Block: 2011,Census Tract 119, Dane County, Wisconsin
  -Block: 2020,Census Tract 119, Dane County, Wisconsin
  -Block: 2034,Census Tract 119, Dane County, Wisconsin
  -Block: 4075,Census Tract 119, Dane County, Wisconsin
  -Block: 1000,Census Tract 120.02, Dane County, Wisconsin
  -Block: 4025,Census Tract 120.02, Dane County, Wisconsin
  -Block: 4100,Census Tract 120.02, Dane County, Wisconsin
  -Block: 2022,Census Tract 120.03, Dane County, Wisconsin
  -Block: 3020,Census Tract 122.02, Dane County, Wisconsin
