,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
11,55033,"Dunn County, Wisconsin",13215,1037,4540,4108,3530,13208,572,4040,4393,4203,60,19,12,13,16,57,0,0,12,45,10,0,6,4,0,34,0,0,19,15,201,35,45,10,111,293,99,33,34,127,0,0,0,0,0,22,0,0,0,22,72,12,38,11,11,23,2,12,3,6,143,7,61,44,31,203,17,64,64,58,13092,1014,4498,4065,3515,13133,558,4018,4358,4199,194,39,80,54,21,169,14,43,62,50,117,57,60,19,12,25,61,363,169,194,53,123,116,71,480,226,254,72,135,141,132
12,55035,"Eau Claire County, Wisconsin",30257,1553,8077,11095,9532,31207,1215,7742,11195,11055,435,103,35,259,38,261,17,84,107,53,104,0,8,58,38,79,1,38,27,13,946,59,246,194,447,1177,234,242,250,451,122,0,57,65,0,87,0,11,76,0,172,33,1,68,70,97,4,59,2,32,525,29,202,159,135,692,15,168,367,142,29870,1387,8015,11015,9453,30863,1132,7650,11100,10981,608,214,185,130,79,535,94,198,106,137,696,261,435,120,119,366,91,1143,535,608,308,383,236,216,1839,796,1043,428,502,602,307
13,55039,"Fond du Lac County, Wisconsin",33243,2819,12691,10565,7168,34352,1970,11907,12139,8336,305,24,83,108,90,429,101,85,158,85,205,18,76,36,75,97,8,54,26,9,277,32,30,35,180,462,24,51,37,350,10,0,2,0,8,18,0,0,0,18,342,123,75,101,43,932,233,102,37,560,650,52,310,136,152,458,111,163,118,66,32423,2550,12445,10397,7031,33742,1777,11754,11941,8270,1410,418,511,298,183,1049,426,264,254,105,734,429,305,125,168,266,175,2459,1049,1410,844,775,552,288,3193,1478,1715,969,943,818,463
14,55041,"Forest County, Wisconsin",2709,300,1089,914,406,2794,201,1072,1013,508,32,9,11,12,0,4,0,4,0,0,343,66,122,128,27,386,76,174,131,5,11,0,0,0,11,19,0,2,3,14,0,0,0,0,0,0,0,0,0,0,67,0,17,50,0,3,2,1,0,0,56,4,24,17,11,56,1,17,35,3,2693,293,1089,905,406,2740,201,1053,996,490,37,7,17,13,0,55,0,19,17,19,36,4,32,9,15,12,0,92,55,37,7,36,30,19,128,59,69,16,51,42,19
15,55045,"Green County, Wisconsin",12546,1216,4562,4113,2655,12881,665,4338,4526,3352,104,0,79,24,1,32,0,0,32,0,38,0,0,19,19,32,16,0,10,6,13,0,8,0,5,52,11,5,31,5,0,0,0,0,0,9,0,9,0,0,90,57,32,1,0,93,31,36,14,12,107,21,34,12,40,158,3,84,64,7,12369,1152,4514,4076,2627,12666,653,4240,4450,3323,287,121,89,38,39,301,43,135,83,40,136,32,104,0,79,56,1,588,301,287,164,224,121,79,724,333,391,164,303,177,80
16,55047,"Green Lake County, Wisconsin",6402,699,2565,1898,1240,6449,510,2477,1995,1467,66,0,22,44,0,32,0,8,24,0,15,4,9,0,2,17,0,1,15,1,26,0,0,0,26,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,56,8,23,25,0,45,20,16,6,3,56,0,24,18,14,106,0,57,43,6,6214,611,2489,1875,1239,6320,493,2418,1952,1457,278,96,121,60,1,214,37,97,67,13,98,32,66,0,30,68,0,492,214,278,133,218,127,14,590,246,344,133,248,195,14
17,55051,"Iron County, Wisconsin",2196,115,674,896,511,2219,104,720,941,454,7,0,3,1,3,2,0,0,0,2,56,4,40,12,0,2,0,2,0,0,10,0,0,3,7,8,1,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18,0,1,6,11,33,0,25,8,0,21,0,12,5,4,2183,115,666,891,511,2199,104,715,926,454,24,0,18,6,0,39,0,6,21,12,9,2,7,0,3,1,5,63,39,24,0,24,27,12,72,41,31,0,27,28,17
18,55053,"Jackson County, Wisconsin",6826,722,3076,2119,909,6212,424,2477,2122,1189,319,84,148,87,0,30,0,26,0,4,284,31,112,116,25,359,15,178,119,47,32,0,15,9,8,30,6,5,12,7,3,3,0,0,0,2,0,0,2,0,191,78,82,24,7,34,10,12,10,2,183,18,92,39,34,92,0,21,24,47,6774,704,3056,2106,908,6131,395,2450,2115,1171,284,108,102,38,36,142,39,50,21,32,349,30,319,84,174,87,4,426,142,284,147,152,59,68,775,172,603,231,326,146,72
19,55057,"Juneau County, Wisconsin",9545,1175,4025,3024,1321,8696,623,3440,3190,1443,498,62,157,242,37,10,0,6,1,3,116,41,16,47,12,78,1,38,39,0,50,13,18,10,9,52,6,8,14,24,6,0,0,6,0,0,0,0,0,0,97,31,39,6,21,36,20,3,4,9,226,27,88,83,28,157,0,44,88,25,9404,1145,3960,2989,1310,8597,609,3391,3157,1440,305,73,124,80,28,169,34,52,71,12,508,10,498,62,163,243,40,474,169,305,107,176,151,40,982,179,803,169,339,394,80
20,55059,"Kenosha County, Wisconsin",48761,4500,15963,15332,12966,50809,4164,14052,17680,14913,2829,556,958,865,450,3502,375,968,1491,668,170,41,96,28,5,283,46,59,88,90,917,84,31,267,535,1088,103,111,342,532,37,5,20,5,7,1,0,0,0,1,1004,481,273,204,46,1022,246,224,234,318,1899,384,298,726,491,1854,219,403,556,676,44817,3528,14483,14467,12339,47355,3319,13022,16457,14557,5723,1706,1855,1370,792,5607,1253,1517,1752,1085,6331,3502,2829,931,1926,2356,1118,11330,5607,5723,2959,3372,3122,1877,17661,9109,8552,3890,5298,5478,2995
21,55063,"La Crosse County, Wisconsin",34300,1572,9254,11720,11754,36234,1380,8241,12521,14092,584,26,132,245,181,388,34,94,136,124,74,22,1,42,9,138,13,38,83,4,1395,101,217,634,443,1598,381,442,285,490,0,0,0,0,0,16,0,14,2,0,310,40,96,29,145,163,30,0,133,0,378,0,181,145,52,587,0,218,175,194,34020,1566,9226,11557,11671,35930,1301,8222,12410,13997,638,46,161,207,224,597,109,113,276,99,972,388,584,60,226,381,305,1235,597,638,155,274,483,323,2207,985,1222,215,500,864,628
22,55065,"Lafayette County, Wisconsin",5510,505,2486,1630,889,5516,387,2029,1868,1232,34,2,19,13,0,40,24,0,15,1,24,9,4,0,11,17,0,0,17,0,22,0,3,5,14,43,0,18,6,19,0,0,0,0,0,0,0,0,0,0,43,26,13,4,0,33,0,25,7,1,72,8,8,33,23,44,4,13,6,21,5410,478,2416,1628,888,5416,369,1982,1857,1208,173,60,83,6,24,147,18,73,18,38,74,40,34,26,19,28,1,320,147,173,78,156,24,62,394,187,207,104,175,52,63
23,55069,"Lincoln County, Wisconsin",10079,964,4201,3176,1738,10121,679,3674,3747,2021,52,7,35,10,0,3,0,0,0,3,30,11,4,15,0,37,0,3,19,15,24,0,9,1,14,37,14,11,0,12,0,0,0,0,0,0,0,0,0,0,37,5,0,31,1,2,0,0,0,2,72,19,16,27,10,136,1,50,47,38,9978,928,4172,3154,1724,10043,661,3657,3736,1989,126,52,29,31,14,92,18,17,23,34,55,3,52,7,35,10,3,218,92,126,70,46,54,48,273,95,178,77,81,64,51
24,55071,"Manitowoc County, Wisconsin",26656,1970,9939,9439,5308,27329,1314,9905,9437,6673,170,19,87,39,25,227,89,80,44,14,86,29,8,35,14,175,1,42,110,22,586,120,180,149,137,561,184,88,229,60,0,0,0,0,0,0,0,0,0,0,123,85,32,0,6,102,12,53,36,1,401,60,117,109,115,448,75,148,125,100,26103,1746,9799,9313,5245,26968,1251,9775,9314,6628,836,341,204,188,103,658,132,219,219,88,397,227,170,108,167,83,39,1494,658,836,473,423,407,191,1891,885,1006,581,590,490,230
25,55075,"Marinette County, Wisconsin",14509,1496,6073,4835,2105,14612,1091,5726,5241,2554,82,13,62,3,4,73,0,67,6,0,79,20,32,27,0,115,17,49,39,10,35,8,3,18,6,99,14,50,10,25,0,0,0,0,0,0,0,0,0,0,9,0,5,1,3,34,3,1,0,30,281,24,54,45,158,142,24,16,49,53,14424,1479,6055,4799,2091,14478,1067,5706,5189,2516,117,37,23,43,14,197,32,27,52,86,155,73,82,13,129,9,4,314,197,117,69,50,95,100,469,270,199,82,179,104,104
26,55077,"Marquette County, Wisconsin",5578,607,2481,1827,663,5539,425,2188,2033,893,77,25,25,27,0,6,1,1,4,0,40,8,9,20,3,20,4,14,2,0,29,0,0,9,20,52,0,6,25,21,0,0,0,0,0,0,0,0,0,0,39,21,16,0,2,20,0,9,7,4,33,7,8,14,4,68,0,22,25,21,5503,596,2457,1795,655,5458,407,2163,2003,885,118,32,40,32,14,111,18,46,35,12,83,6,77,26,26,31,0,229,111,118,50,86,67,26,312,117,195,76,112,98,26
27,55079,"Milwaukee County, Wisconsin",193911,14313,52420,54827,72351,207595,13267,55167,55173,83988,62900,10594,25050,20644,6612,82809,11945,27950,29557,13357,1609,161,845,418,185,1795,154,521,687,433,12898,2328,3166,1950,5454,12565,2854,2196,2261,5254,74,5,26,21,22,107,19,36,8,44,18239,6520,6441,3147,2131,16651,5655,4728,4054,2214,8480,1371,2373,2719,2017,11093,1832,2129,3551,3581,177018,9135,46681,50923,70279,190590,8806,50355,50527,80902,38372,12912,13352,8269,3839,37269,11393,10051,9989,5836,145709,82809,62900,22539,53000,50201,19969,75641,37269,38372,24305,23403,18258,9675,221350,120078,101272,46844,76403,68459,29644
28,55081,"Monroe County, Wisconsin",14798,1488,5690,5081,2539,14513,1157,4717,4986,3653,342,11,220,35,76,200,0,107,45,48,153,7,113,31,2,178,32,41,43,62,91,1,29,10,51,116,12,13,34,57,10,0,10,0,0,1,1,0,0,0,364,132,66,123,43,174,31,39,61,43,95,7,27,56,5,195,9,44,60,82,14683,1463,5641,5070,2509,14306,1086,4659,4940,3621,493,160,116,135,82,438,103,116,112,107,542,200,342,11,327,80,124,931,438,493,263,232,247,189,1473,638,835,274,559,327,313
