"","GEOID","NAME","all_over18","hisp_over18","white_over18","baa_over18","amin_over18","asian_over18","nhpi_over18","other_over18","multi_over18","summary_value"
"107","55057100500","Census Tract 1005, Juneau County, Wisconsin",3191,109,2970,102,45,19,0,55,102,4186
"108","55057100600","Census Tract 1006, Juneau County, Wisconsin",2470,38,2422,12,8,9,0,19,71,3270
"109","55057100700","Census Tract 1007, Juneau County, Wisconsin",3207,64,3034,15,123,7,0,28,105,4186
"110","55059000101","Census Tract 1.01, Kenosha County, Wisconsin",1397,167,1154,120,7,23,0,93,111,1793
"111","55059000102","Census Tract 1.02, Kenosha County, Wisconsin",2849,277,2328,314,19,64,1,123,169,3863
"112","55059000300","Census Tract 3, Kenosha County, Wisconsin",4082,590,3410,384,18,62,5,203,406,5167
"113","55093960800","Census Tract 9608, Pierce County, Wisconsin",2872,73,2780,8,11,18,0,55,57,3692
"114","55095960100","Census Tract 9601, Polk County, Wisconsin",2902,82,2825,12,36,9,0,20,74,3741
"115","55095960200","Census Tract 9602, Polk County, Wisconsin",2968,47,2903,11,5,26,0,23,70,3812
"116","55095960301","Census Tract 9603.01, Polk County, Wisconsin",1443,7,1426,0,5,5,0,7,55,1935
"117","55095960302","Census Tract 9603.02, Polk County, Wisconsin",1776,28,1741,7,14,2,0,12,73,2246
"118","55095960303","Census Tract 9603.03, Polk County, Wisconsin",957,20,847,0,106,0,0,4,50,1217
"119","55095960500","Census Tract 9605, Polk County, Wisconsin",2199,43,2178,4,7,4,0,6,69,2832
"120","55095960600","Census Tract 9606, Polk County, Wisconsin",1815,26,1767,7,24,2,0,15,42,2218
"121","55095960701","Census Tract 9607.01, Polk County, Wisconsin",2934,37,2881,6,15,16,0,16,97,3821
"122","55095960702","Census Tract 9607.02, Polk County, Wisconsin",1549,28,1513,9,6,6,1,14,62,2109
"123","55095960800","Census Tract 9608, Polk County, Wisconsin",5158,85,5063,17,11,27,1,39,122,6858
"124","55095960901","Census Tract 9609.01, Polk County, Wisconsin",2364,63,2324,4,7,10,0,19,103,3065
"125","55095960902","Census Tract 9609.02, Polk County, Wisconsin",1822,14,1800,0,8,9,0,5,61,2397
"126","55095961000","Census Tract 9610, Polk County, Wisconsin",3730,73,3632,17,24,21,3,33,109,4852
"127","55095961100","Census Tract 9611, Polk County, Wisconsin",2869,38,2804,13,14,15,2,21,94,3874
"128","55097960100","Census Tract 9601, Portage County, Wisconsin",3547,68,3489,4,6,13,0,35,77,4619
"129","55097960200","Census Tract 9602, Portage County, Wisconsin",3631,62,3579,4,11,21,0,16,79,4758
"130","55097960300","Census Tract 9603, Portage County, Wisconsin",3209,124,2939,55,12,146,0,57,147,4059
"131","55097960400","Census Tract 9604, Portage County, Wisconsin",5811,215,4934,310,85,389,8,85,146,6595
"132","55097960500","Census Tract 9605, Portage County, Wisconsin",5519,121,5296,19,26,124,1,53,158,7185
"133","55097960600","Census Tract 9606, Portage County, Wisconsin",4129,43,4069,12,12,15,0,21,93,5497
"134","55097960701","Census Tract 9607.01, Portage County, Wisconsin",4104,91,3887,23,12,151,3,28,126,5502
"135","55097960702","Census Tract 9607.02, Portage County, Wisconsin",2741,66,2567,13,6,138,2,15,75,3484
"136","55097960800","Census Tract 9608, Portage County, Wisconsin",4058,123,3770,57,14,164,1,52,128,5246
"137","55097960900","Census Tract 9609, Portage County, Wisconsin",2391,85,2212,44,9,100,0,26,126,3135
"138","55097961000","Census Tract 9610, Portage County, Wisconsin",1829,84,1687,55,8,57,0,22,93,2268
"139","55097961101","Census Tract 9611.01, Portage County, Wisconsin",2966,101,2777,22,8,118,0,41,84,3904
"140","55097961102","Census Tract 9611.02, Portage County, Wisconsin",2418,58,2305,25,8,66,0,14,94,2984
"141","55097961200","Census Tract 9612, Portage County, Wisconsin",4749,244,4455,47,14,131,0,102,197,6257
"142","55097961300","Census Tract 9613, Portage County, Wisconsin",3660,230,3504,3,21,9,1,122,140,4884
"143","55099970100","Census Tract 9701, Price County, Wisconsin",2220,15,2183,0,18,12,7,0,69,2652
"144","55099970200","Census Tract 9702, Price County, Wisconsin",2087,19,2000,4,12,16,47,8,74,2679
"145","55099970400","Census Tract 9704, Price County, Wisconsin",1524,22,1488,1,7,12,0,16,41,1843
"146","55099970500","Census Tract 9705, Price County, Wisconsin",1695,18,1650,7,13,11,10,4,50,2171
"147","55099970600","Census Tract 9706, Price County, Wisconsin",1828,11,1808,4,8,3,0,5,33,2246
"148","55099970700","Census Tract 9707, Price County, Wisconsin",1894,20,1872,3,5,5,0,9,51,2463
"149","55101000200","Census Tract 2, Racine County, Wisconsin",3300,707,1728,1095,35,27,2,413,282,4902
"150","55101000400","Census Tract 4, Racine County, Wisconsin",2231,1014,868,804,31,8,0,520,359,3804
"151","55101000500","Census Tract 5, Racine County, Wisconsin",2828,1293,742,1393,18,6,0,669,477,4825
"152","55101000600","Census Tract 6, Racine County, Wisconsin",3625,814,2355,871,45,28,0,326,436,5640
"153","55101000700","Census Tract 7, Racine County, Wisconsin",3678,860,2540,729,21,23,3,362,472,5662
"154","55101000800","Census Tract 8, Racine County, Wisconsin",3125,789,2165,561,24,35,1,339,356,4526
"155","55101000901","Census Tract 9.01, Racine County, Wisconsin",2640,618,1953,353,14,53,1,266,285,3714
"156","55101000903","Census Tract 9.03, Racine County, Wisconsin",3124,253,2531,405,16,76,2,94,215,4150
"157","55101000904","Census Tract 9.04, Racine County, Wisconsin",3943,370,3070,594,19,108,4,148,286,5283
"158","55101001001","Census Tract 10.01, Racine County, Wisconsin",1922,291,1194,587,13,18,0,110,156,2736
"159","55133200300","Census Tract 2003, Waukesha County, Wisconsin",3737,75,3354,81,9,266,2,25,156,5288
"160","55133200400","Census Tract 2004, Waukesha County, Wisconsin",5476,129,4752,300,19,355,0,50,200,7375
"161","55133200500","Census Tract 2005, Waukesha County, Wisconsin",4359,126,3771,142,18,395,0,33,155,6069
"162","55133200600","Census Tract 2006, Waukesha County, Wisconsin",1371,49,1216,90,11,36,2,16,53,1787
"163","55133200700","Census Tract 2007, Waukesha County, Wisconsin",3077,84,2665,84,6,301,2,19,116,4168
"164","55133200801","Census Tract 2008.01, Waukesha County, Wisconsin",3801,74,3538,16,6,216,0,25,120,5308
"165","55133200803","Census Tract 2008.03, Waukesha County, Wisconsin",3551,74,3116,68,9,332,0,26,125,4806
"166","55133200804","Census Tract 2008.04, Waukesha County, Wisconsin",3133,89,2579,56,8,463,0,27,104,4192
"167","55133200901","Census Tract 2009.01, Waukesha County, Wisconsin",3262,83,2975,64,9,192,0,22,124,4364
"168","55133200902","Census Tract 2009.02, Waukesha County, Wisconsin",3008,97,2785,25,3,181,0,14,137,4326
"169","55133201001","Census Tract 2010.01, Waukesha County, Wisconsin",1946,47,1878,9,0,52,1,6,85,2557
"170","55133201002","Census Tract 2010.02, Waukesha County, Wisconsin",2782,83,2663,23,8,69,0,19,90,4057
"171","55133201101","Census Tract 2011.01, Waukesha County, Wisconsin",3788,114,3200,76,7,474,1,30,147,5233
"172","55133201102","Census Tract 2011.02, Waukesha County, Wisconsin",2403,110,2178,26,3,162,2,32,113,3167
"173","55133201201","Census Tract 2012.01, Waukesha County, Wisconsin",1573,48,1397,40,8,111,1,16,53,2064
"174","55133201203","Census Tract 2012.03, Waukesha County, Wisconsin",2635,96,2194,68,0,345,0,28,120,3485
"175","55133201204","Census Tract 2012.04, Waukesha County, Wisconsin",2195,70,1703,66,3,402,0,21,84,2736
"176","55133201205","Census Tract 2012.05, Waukesha County, Wisconsin",3177,90,2683,59,1,397,0,37,139,4313
"177","55133201300","Census Tract 2013, Waukesha County, Wisconsin",3742,180,3470,47,13,151,2,59,154,4821
"178","55133201402","Census Tract 2014.02, Waukesha County, Wisconsin",3794,163,3576,34,21,127,2,34,158,4760
"179","55133201403","Census Tract 2014.03, Waukesha County, Wisconsin",3321,138,3025,66,15,162,5,48,146,4308
"180","55133201404","Census Tract 2014.04, Waukesha County, Wisconsin",3039,105,2851,28,4,119,0,37,109,3850
"181","55133201504","Census Tract 2015.04, Waukesha County, Wisconsin",4629,156,4275,28,12,263,3,48,191,6084
"182","55133201505","Census Tract 2015.05, Waukesha County, Wisconsin",2159,54,2106,9,0,39,0,5,75,2820
"183","55133201506","Census Tract 2015.06, Waukesha County, Wisconsin",4292,134,4023,60,9,175,0,25,179,5564
"184","55133201507","Census Tract 2015.07, Waukesha County, Wisconsin",2661,86,2441,9,10,180,0,21,94,3455
"185","55133201508","Census Tract 2015.08, Waukesha County, Wisconsin",2353,101,2082,66,4,166,0,35,84,2976
"186","55133201600","Census Tract 2016, Waukesha County, Wisconsin",4123,147,3970,13,23,72,1,44,141,5466
"187","55133201701","Census Tract 2017.01, Waukesha County, Wisconsin",3541,96,3468,11,9,31,1,21,129,4597
"188","55133201703","Census Tract 2017.03, Waukesha County, Wisconsin",4312,101,4213,4,13,51,0,31,147,5666
"189","55133201704","Census Tract 2017.04, Waukesha County, Wisconsin",3902,108,3809,13,11,35,2,32,126,5307
"190","55133201800","Census Tract 2018, Waukesha County, Wisconsin",1204,25,1191,3,0,1,0,9,47,1540
"191","55133201900","Census Tract 2019, Waukesha County, Wisconsin",4591,142,4429,13,11,92,0,46,182,6402
"192","55133202001","Census Tract 2020.01, Waukesha County, Wisconsin",4000,91,3918,14,6,37,0,25,142,5291
"193","55133202002","Census Tract 2020.02, Waukesha County, Wisconsin",3117,58,3053,13,12,9,0,30,121,4077
"194","55133202101","Census Tract 2021.01, Waukesha County, Wisconsin",3040,121,2865,32,4,96,0,43,125,4211
"195","55133200202","Census Tract 2002.02, Waukesha County, Wisconsin",3559,78,3115,170,8,230,0,36,115,4493
"196","55133202102","Census Tract 2021.02, Waukesha County, Wisconsin",3521,255,3287,45,5,95,0,89,177,4799
"197","55133202103","Census Tract 2021.03, Waukesha County, Wisconsin",2579,134,2390,61,4,85,4,35,101,3388
"198","55133202201","Census Tract 2022.01, Waukesha County, Wisconsin",3014,194,2843,31,13,66,0,61,144,4211
"199","55133202203","Census Tract 2022.03, Waukesha County, Wisconsin",1577,261,1327,83,16,34,0,117,148,2230
"200","55133202204","Census Tract 2022.04, Waukesha County, Wisconsin",2555,330,2229,68,20,116,0,122,197,3437
"201","55133202301","Census Tract 2023.01, Waukesha County, Wisconsin",3283,277,3055,78,13,61,3,73,212,4576
"202","55133202303","Census Tract 2023.03, Waukesha County, Wisconsin",2131,506,1679,182,13,48,2,207,271,3398
"203","55133202304","Census Tract 2023.04, Waukesha County, Wisconsin",2156,486,1808,145,25,28,0,150,271,3134
"204","55059000501","Census Tract 5.01, Kenosha County, Wisconsin",1988,258,1767,96,9,13,0,103,160,2794
"205","55059000502","Census Tract 5.02, Kenosha County, Wisconsin",2226,172,1952,153,8,45,0,68,129,2713
"206","55059000601","Census Tract 6.01, Kenosha County, Wisconsin",5299,691,4434,453,26,173,4,209,223,6496
"207","55059000603","Census Tract 6.03, Kenosha County, Wisconsin",2895,298,2549,180,6,76,0,84,221,3779
"208","55059000604","Census Tract 6.04, Kenosha County, Wisconsin",2974,350,2529,224,9,102,0,110,233,3898
"209","55059000700","Census Tract 7, Kenosha County, Wisconsin",3345,1028,2109,696,27,19,4,490,448,5369
"210","55059000800","Census Tract 8, Kenosha County, Wisconsin",1607,624,962,327,12,11,9,286,251,2763
"211","55059000900","Census Tract 9, Kenosha County, Wisconsin",2458,1010,1457,460,27,20,0,494,413,4058
"212","55059001000","Census Tract 10, Kenosha County, Wisconsin",2175,339,1671,377,11,32,2,82,148,2623
"213","55059001100","Census Tract 11, Kenosha County, Wisconsin",2162,746,1160,635,27,13,6,321,312,3502
"214","55059001200","Census Tract 12, Kenosha County, Wisconsin",2598,727,1950,295,27,27,3,296,341,4020
"215","55059001300","Census Tract 13, Kenosha County, Wisconsin",2569,588,1969,324,26,38,3,209,332,3981
"216","55059001401","Census Tract 14.01, Kenosha County, Wisconsin",1878,205,1698,66,6,18,0,90,128,2612
"217","55059001402","Census Tract 14.02, Kenosha County, Wisconsin",3371,427,2872,200,21,63,1,214,240,4570
"218","55059001500","Census Tract 15, Kenosha County, Wisconsin",2455,474,2100,144,19,21,0,171,305,3709
"219","55059001600","Census Tract 16, Kenosha County, Wisconsin",2057,707,1164,535,11,24,2,321,337,3350
"220","55059001700","Census Tract 17, Kenosha County, Wisconsin",1761,377,1374,196,6,11,0,174,192,2697
"221","55059001800","Census Tract 18, Kenosha County, Wisconsin",1430,322,1082,192,18,15,0,123,180,2201
"222","55059001900","Census Tract 19, Kenosha County, Wisconsin",1766,140,1628,82,2,14,0,40,118,2351
"223","55059002000","Census Tract 20, Kenosha County, Wisconsin",4218,377,3871,115,16,77,4,135,319,5731
"224","55059002100","Census Tract 21, Kenosha County, Wisconsin",3451,624,2722,350,30,60,11,278,329,4983
"225","55059002200","Census Tract 22, Kenosha County, Wisconsin",2526,265,2293,110,10,23,2,88,199,3570
"226","55059002300","Census Tract 23, Kenosha County, Wisconsin",4202,383,3807,204,17,45,0,129,289,5706
"227","55059002400","Census Tract 24, Kenosha County, Wisconsin",3589,304,3355,91,18,33,0,92,233,4644
"228","55059002500","Census Tract 25, Kenosha County, Wisconsin",2518,199,2265,124,14,41,2,72,138,3352
"229","55059002603","Census Tract 26.03, Kenosha County, Wisconsin",3233,425,2419,279,1,358,0,176,315,4909
"230","55059002604","Census Tract 26.04, Kenosha County, Wisconsin",2541,311,2032,183,7,217,1,101,266,3939
"231","55059002605","Census Tract 26.05, Kenosha County, Wisconsin",4539,393,3980,180,17,202,0,160,292,5916
"232","55059002606","Census Tract 26.06, Kenosha County, Wisconsin",3278,240,3004,88,4,95,1,86,203,4624
"233","55059002700","Census Tract 27, Kenosha County, Wisconsin",4818,235,4552,68,11,101,0,86,255,6533
"234","55059002801","Census Tract 28.01, Kenosha County, Wisconsin",2615,88,2566,11,8,16,1,13,117,3410
"235","55059002802","Census Tract 28.02, Kenosha County, Wisconsin",2221,74,2187,6,2,11,0,15,74,2803
"236","55059002903","Census Tract 29.03, Kenosha County, Wisconsin",2328,91,2261,13,9,10,0,35,133,3197
"237","55059002904","Census Tract 29.04, Kenosha County, Wisconsin",3990,211,3863,12,14,22,5,74,224,5300
"238","55059002905","Census Tract 29.05, Kenosha County, Wisconsin",2788,142,2703,0,11,17,0,57,168,3776
"239","55059002906","Census Tract 29.06, Kenosha County, Wisconsin",3750,179,3615,24,11,36,1,63,202,5247
"240","55059000400","Census Tract 4, Kenosha County, Wisconsin",2599,359,2317,110,9,19,0,144,217,3603
"241","55059003001","Census Tract 30.01, Kenosha County, Wisconsin",3440,121,3355,16,7,23,1,38,146,4541
"242","55059003002","Census Tract 30.02, Kenosha County, Wisconsin",3767,183,3662,13,16,16,0,60,183,5058
"243","55059990000","Census Tract 9900, Kenosha County, Wisconsin",0,0,0,0,0,0,0,0,0,0
"244","55061960100","Census Tract 9601, Kewaunee County, Wisconsin",2503,47,2426,20,14,10,2,31,69,3227
"245","55061960200","Census Tract 9602, Kewaunee County, Wisconsin",1987,55,1933,5,7,4,0,38,33,2506
"246","55061960401","Census Tract 9604.01, Kewaunee County, Wisconsin",3796,136,3665,6,10,14,0,101,90,5116
"247","55061960402","Census Tract 9604.02, Kewaunee County, Wisconsin",2869,122,2766,2,23,3,0,75,77,3785
"248","55061960500","Census Tract 9605, Kewaunee County, Wisconsin",4574,130,4449,13,19,17,0,76,115,5929
"249","55061990000","Census Tract 9900, Kewaunee County, Wisconsin",0,0,0,0,0,0,0,0,0,0
