,GEOID,full_geoid,male_white_total,male_white_less_hs,male_white_hs_grad,male_white_some_college,male_white_bs,female_white_total,female_white_less_hs,female_white_hs_grad,female_white_some_college,female_white_bs,male_black_total,male_black_less_hs,male_black_hs_grad,male_black_some_college,male_black_bs,female_black_total,female_black_less_hs,female_black_hs_grad,female_black_some_college,female_black_bs,male_aian_total,male_aian_less_hs,male_aian_hs_grad,male_aian_some_college,male_aian_bs,female_aian_total,female_aian_less_hs,female_aian_hs_grad,female_aian_some_college,female_aian_bs,male_asian_total,male_asian_less_hs,male_asian_hs_grad,male_asian_some_college,male_asian_bs,female_asian_total,female_asian_less_hs,female_asian_hs_grad,female_asian_some_college,female_asian_bs,male_nhpi_total,male_nhpi_less_hs,male_nhpi_hs_grad,male_nhpi_some_college,male_nhpi_bs,female_nhpi_total,female_nhpi_less_hs,female_nhpi_hs_grad,female_nhpi_some_college,female_nhpi_bs,male_other_total,male_other_less_hs,male_other_hs_grad,male_other_some_college,male_other_bs,female_other_total,female_other_less_hs,female_other_hs_grad,female_other_some_college,female_other_bs,male_mixed_total,male_mixed_less_hs,male_mixed_hs_grad,male_mixed_some_college,male_mixed_bs,female_mixed_total,female_mixed_less_hs,female_mixed_hs_grad,female_mixed_some_college,female_mixed_bs,male_w_nothisp_total,male_w_nothisp_less_hs,male_w_nothisp_hs_grad,male_w_nothisp_some_college,male_w_nothisp_bs,female_w_nothisp_total,female_w_nothisp_less_hs,female_w_nothisp_hs_grad,female_w_nothisp_some_college,female_w_nothisp_bs,male_hisp_total,male_hisp_less_hs,male_hisp_hs_grad,male_hisp_some_college,male_hisp_bs,female_hisp_total,female_hisp_less_hs,female_hisp_hs_grad,female_hisp_some_college,female_hisp_bs,BLACK_TOTAL,BLACK_FEMALE,BLACK_MALE,BLACK_LESS_HS_TOTAL,BLACK_HS_TOTAL,BLACK_SOME_COLLEGE_TOTAL,BLACK_COLLEGE_TOTAL,HISP_TOTAL,HISP_FEMALE,HISP_MALE,HISP_LESS_HS_TOTAL,HISP_HS_TOTAL,HISP_SOME_COLLEGE_TOTAL,HISP_COLLEGE_TOTAL,UNDERREP_TOTAL,UNDERREP_FEMALE,UNDERREP_MALE,UNDERREP_LESS_HS_TOTAL,UNDERREP_HS_TOTAL,UNDERREP_SOME_COLLEGE_TOTAL,UNDERREP_COLLEGE_TOTAL
721,55019950200,"Census Tract 9502, Clark County, Wisconsin",1239,358,428,359,94,1340,222,472,460,186,2,0,2,0,0,5,5,0,0,0,4,0,0,4,0,5,0,3,2,0,4,4,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,22,15,7,0,0,9,6,3,0,0,52,5,24,23,0,41,13,4,16,8,1189,326,420,349,94,1303,213,455,453,182,74,49,15,10,0,52,21,20,7,4,7,5,2,5,2,0,0,126,52,74,70,35,17,4,133,57,76,75,37,17,4
722,55019950300,"Census Tract 9503, Clark County, Wisconsin",1328,384,471,351,122,1260,263,402,371,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,2,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,7,0,3,4,0,1314,380,469,348,117,1255,263,400,371,221,14,4,2,3,5,5,0,2,0,3,0,0,0,0,0,0,0,19,5,14,4,4,3,8,19,5,14,4,4,3,8
723,55019950400,"Census Tract 9504, Clark County, Wisconsin",1267,317,520,323,107,1108,180,387,356,185,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,5,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,4,1,23,2,17,4,0,7,1,0,6,0,1262,315,519,321,107,1103,175,387,356,185,7,2,1,4,0,10,5,0,4,1,0,0,0,0,0,0,0,17,10,7,7,1,8,1,17,10,7,7,1,8,1
724,55019950500,"Census Tract 9505, Clark County, Wisconsin",1500,252,736,380,132,1393,227,569,375,222,6,0,2,4,0,16,0,8,8,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,3,0,3,0,51,0,41,6,4,1487,243,734,380,130,1381,227,568,370,216,22,12,2,6,2,27,0,8,13,6,22,16,6,0,10,12,0,49,27,22,12,10,19,8,71,43,28,12,20,31,8
725,55019950600,"Census Tract 9506, Clark County, Wisconsin",1525,283,695,378,169,1392,238,446,450,258,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,14,8,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,23,3,5,10,5,3,2,1,0,0,1480,250,690,375,165,1343,206,440,442,255,52,33,8,7,4,49,32,6,8,3,4,0,4,4,0,0,0,101,49,52,65,14,15,7,105,49,56,69,14,15,7
726,55019950700,"Census Tract 9507, Clark County, Wisconsin",1095,133,418,344,200,1296,99,496,466,235,1,0,1,0,0,10,9,1,0,0,6,0,6,0,0,0,0,0,0,0,12,0,0,1,11,7,0,2,3,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,2,2,0,0,0,23,0,1,22,0,2,0,0,2,0,1095,133,418,344,200,1296,99,496,466,235,5,5,0,0,0,2,2,0,0,0,11,10,1,9,2,0,0,7,2,5,7,0,0,0,18,12,6,16,2,0,0
727,55019950800,"Census Tract 9508, Clark County, Wisconsin",1180,140,585,343,112,1045,66,439,411,129,4,0,0,4,0,0,0,0,0,0,13,0,0,13,0,5,4,0,1,0,2,0,0,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,3,0,3,0,0,9,0,2,7,0,1160,133,579,336,112,1040,66,435,410,129,21,8,6,7,0,9,0,5,4,0,4,0,4,0,0,4,0,30,9,21,8,11,11,0,34,9,25,8,11,15,0
728,55021970100,"Census Tract 9701, Columbia County, Wisconsin",1239,164,552,375,148,1263,144,458,420,241,5,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,23,7,16,0,0,3,0,3,0,0,4,0,1,3,0,11,3,1,1,6,1197,143,548,360,146,1246,135,454,416,241,68,28,20,18,2,28,12,7,4,5,5,0,5,5,0,0,0,96,28,68,40,27,22,7,101,28,73,45,27,22,7
729,55021970200,"Census Tract 9702, Columbia County, Wisconsin",1942,185,688,790,279,2013,138,628,854,393,5,0,0,5,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,54,6,35,13,0,16,0,0,3,13,1900,162,683,776,279,1997,126,626,854,391,75,23,38,14,0,16,12,2,0,2,18,13,5,0,13,5,0,91,16,75,35,40,14,2,109,29,80,35,53,19,2
730,55021970300,"Census Tract 9703, Columbia County, Wisconsin",1558,129,485,582,362,1591,84,425,653,429,55,0,5,50,0,41,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,3,0,14,11,0,3,0,0,0,0,0,0,20,0,5,15,0,1513,129,464,558,362,1544,76,425,617,426,61,16,21,24,0,58,19,0,36,3,96,41,55,0,5,56,35,119,58,61,35,21,60,3,215,99,116,35,26,116,38
731,55021970401,"Census Tract 9704.01, Columbia County, Wisconsin",947,88,369,232,258,779,61,276,302,140,300,57,188,55,0,0,0,0,0,0,38,8,30,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,51,20,16,7,8,0,0,0,0,0,914,80,344,232,258,739,61,261,302,115,53,20,25,8,0,40,0,15,0,25,300,0,300,57,188,55,0,93,40,53,20,40,8,25,393,40,353,77,228,63,25
732,55021970402,"Census Tract 9704.02, Columbia County, Wisconsin",1193,90,529,470,104,1358,76,478,682,122,0,0,0,0,0,7,0,2,5,0,0,0,0,0,0,36,0,0,0,36,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,90,525,448,104,1336,76,456,682,122,58,0,36,22,0,27,0,22,5,0,7,7,0,0,2,5,0,85,27,58,0,58,27,0,92,34,58,0,60,32,0
733,55021970500,"Census Tract 9705, Columbia County, Wisconsin",1286,97,505,441,243,1310,52,581,401,276,48,23,18,7,0,17,11,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,28,8,0,9,11,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,41,12,10,19,0,34,0,34,0,0,53,0,42,11,0,1228,68,488,429,243,1310,52,581,401,276,74,45,17,12,0,45,12,14,19,0,65,17,48,34,18,13,0,119,45,74,57,31,31,0,184,62,122,91,49,44,0
734,55021970600,"Census Tract 9706, Columbia County, Wisconsin",1937,102,722,724,389,1819,67,653,664,435,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,16,0,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,5,25,0,0,14,11,15,0,0,5,10,1918,102,713,721,382,1812,67,646,664,435,38,0,9,13,16,22,0,7,10,5,10,5,5,0,5,0,5,60,22,38,0,16,23,21,70,27,43,0,21,23,26
735,55021970700,"Census Tract 9707, Columbia County, Wisconsin",1446,100,384,633,329,1425,44,411,587,383,40,40,0,0,0,0,0,0,0,0,24,0,24,0,0,21,0,0,8,13,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,19,0,0,18,1,17,0,17,0,0,1446,100,384,633,329,1425,44,411,587,383,0,0,0,0,0,8,0,0,8,0,40,0,40,40,0,0,0,8,8,0,0,0,8,0,48,8,40,40,0,8,0
736,55021970800,"Census Tract 9708, Columbia County, Wisconsin",2174,35,620,814,705,1933,25,328,741,839,8,0,0,8,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,13,0,0,13,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,47,47,0,0,0,11,0,0,0,11,7,0,0,0,7,2158,28,620,805,705,1918,20,328,731,839,84,75,0,9,0,62,52,0,10,0,8,0,8,0,0,8,0,146,62,84,127,0,19,0,154,62,92,127,0,27,0
737,55021970900,"Census Tract 9709, Columbia County, Wisconsin",1608,64,511,530,503,1513,37,346,593,537,6,0,1,0,5,0,0,0,0,0,25,0,0,25,0,26,0,0,26,0,10,0,0,0,10,30,2,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,3,7,0,0,5,2,1587,64,511,527,485,1496,31,337,593,535,21,0,0,3,18,17,6,9,0,2,6,0,6,0,1,0,5,38,17,21,6,9,3,20,44,17,27,6,10,3,25
738,55021971000,"Census Tract 9710, Columbia County, Wisconsin",1361,108,533,517,203,1373,73,521,439,340,7,0,4,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,4,5,0,1,0,4,1341,108,527,503,203,1365,73,521,435,336,27,0,10,17,0,8,0,0,4,4,7,0,7,0,4,3,0,35,8,27,0,10,21,4,42,8,34,0,14,24,4
739,55021971100,"Census Tract 9711, Columbia County, Wisconsin",1094,79,396,334,285,1187,54,390,477,266,5,0,3,0,2,7,0,7,0,0,0,0,0,0,0,2,0,0,2,0,13,0,2,2,9,15,3,0,2,10,2,0,2,0,0,0,0,0,0,0,23,7,4,0,12,12,12,0,0,0,7,0,0,3,4,41,11,19,2,9,1069,79,390,322,278,1177,54,390,470,263,52,7,10,12,23,33,23,0,7,3,12,7,5,0,10,0,2,85,33,52,30,10,19,26,97,40,57,30,20,19,28
