"","GEOID","full_geoid","male_white_total","male_white_less_hs","male_white_hs_grad","male_white_some_college","male_white_bs","female_white_total","female_white_less_hs","female_white_hs_grad","female_white_some_college","female_white_bs","male_black_total","male_black_less_hs","male_black_hs_grad","male_black_some_college","male_black_bs","female_black_total","female_black_less_hs","female_black_hs_grad","female_black_some_college","female_black_bs","male_aian_total","male_aian_less_hs","male_aian_hs_grad","male_aian_some_college","male_aian_bs","female_aian_total","female_aian_less_hs","female_aian_hs_grad","female_aian_some_college","female_aian_bs","male_asian_total","male_asian_less_hs","male_asian_hs_grad","male_asian_some_college","male_asian_bs","female_asian_total","female_asian_less_hs","female_asian_hs_grad","female_asian_some_college","female_asian_bs","male_nhpi_total","male_nhpi_less_hs","male_nhpi_hs_grad","male_nhpi_some_college","male_nhpi_bs","female_nhpi_total","female_nhpi_less_hs","female_nhpi_hs_grad","female_nhpi_some_college","female_nhpi_bs","male_other_total","male_other_less_hs","male_other_hs_grad","male_other_some_college","male_other_bs","female_other_total","female_other_less_hs","female_other_hs_grad","female_other_some_college","female_other_bs","male_mixed_total","male_mixed_less_hs","male_mixed_hs_grad","male_mixed_some_college","male_mixed_bs","female_mixed_total","female_mixed_less_hs","female_mixed_hs_grad","female_mixed_some_college","female_mixed_bs","male_w_nothisp_total","male_w_nothisp_less_hs","male_w_nothisp_hs_grad","male_w_nothisp_some_college","male_w_nothisp_bs","female_w_nothisp_total","female_w_nothisp_less_hs","female_w_nothisp_hs_grad","female_w_nothisp_some_college","female_w_nothisp_bs","male_hisp_total","male_hisp_less_hs","male_hisp_hs_grad","male_hisp_some_college","male_hisp_bs","female_hisp_total","female_hisp_less_hs","female_hisp_hs_grad","female_hisp_some_college","female_hisp_bs","BLACK_TOTAL","BLACK_FEMALE","BLACK_MALE","BLACK_LESS_HS_TOTAL","BLACK_HS_TOTAL","BLACK_SOME_COLLEGE_TOTAL","BLACK_COLLEGE_TOTAL","HISP_TOTAL","HISP_FEMALE","HISP_MALE","HISP_LESS_HS_TOTAL","HISP_HS_TOTAL","HISP_SOME_COLLEGE_TOTAL","HISP_COLLEGE_TOTAL","UNDERREP_TOTAL","UNDERREP_FEMALE_TOTAL","UNDERREP_MALE","UNDERREP_LESS_HS_TOTAL","UNDERREP_HS_TOTAL","UNDERREP_SOME_COLLEGE_TOTAL","UNDERREP_COLLEGE_TOTAL"
"21","55020","State Senate District 20 (2018), Wisconsin",59013,3382,19955,18897,16779,59640,2579,18187,20106,18768,786,97,278,338,73,397,58,35,167,137,176,57,18,53,48,196,16,68,77,35,423,42,51,121,209,497,50,108,164,175,40,10,3,16,11,57,10,0,47,0,401,136,95,100,70,354,62,107,109,76,424,15,119,234,56,440,2,79,182,177,58008,3106,19694,18675,16533,58924,2373,18095,19852,18604,1486,430,368,371,317,1151,270,197,431,253,1183,397,786,155,313,505,210,2637,1151,1486,700,565,802,570,3820,1548,2272,855,878,1307,780
"22","55021","State Senate District 21 (2018), Wisconsin",56488,4310,17478,18825,15875,59588,3015,17799,20612,18162,2248,409,974,704,161,1825,190,412,798,425,201,32,58,77,34,356,0,147,141,68,733,55,120,227,331,873,106,156,215,396,32,0,32,0,0,72,10,0,0,62,491,159,89,112,131,487,139,49,183,116,460,28,140,246,46,483,14,154,180,135,53907,3681,16617,18133,15476,56961,2747,16960,19612,17642,3315,850,995,940,530,3358,421,986,1232,719,4073,1825,2248,599,1386,1502,586,6673,3358,3315,1271,1981,2172,1249,10746,5183,5563,1870,3367,3674,1835
"23","55022","State Senate District 22 (2018), Wisconsin",41390,4782,13932,13110,9566,44199,4350,12763,16412,10674,7143,1960,2603,2078,502,8357,1330,2882,3190,955,323,43,133,111,36,328,45,113,107,63,834,61,44,327,402,1069,142,210,251,466,15,5,0,5,5,1,0,0,0,1,2031,743,705,443,140,1904,855,448,442,159,916,226,199,315,176,1188,198,328,500,162,35323,2737,11756,11787,9043,38443,2691,11123,14622,10007,8610,2911,3010,1976,713,8298,2605,2174,2660,859,15500,8357,7143,3290,5485,5268,1457,16908,8298,8610,5516,5184,4636,1572,32408,16655,15753,8806,10669,9904,3029
"24","55023","State Senate District 23 (2018), Wisconsin",57753,5934,22418,18297,11104,57199,4376,18720,20611,13492,786,132,252,313,89,344,118,60,66,100,152,0,53,91,8,98,16,21,38,23,613,77,183,88,265,922,151,153,268,350,0,0,0,0,0,0,0,0,0,0,383,227,103,39,14,181,83,57,36,5,655,65,216,299,75,467,37,127,204,99,56807,5584,22110,18167,10946,56439,4156,18479,20416,13388,1421,586,450,208,177,983,303,320,251,109,1130,344,786,250,312,379,189,2404,983,1421,889,770,459,286,3534,1327,2207,1139,1082,838,475
"25","55024","State Senate District 24 (2018), Wisconsin",55818,4542,21497,17260,12519,56624,3309,19883,18843,14589,677,155,256,183,83,259,3,126,55,75,335,21,174,123,17,406,51,123,105,127,850,116,199,144,391,978,169,120,241,448,24,0,24,0,0,2,0,0,2,0,713,358,152,140,63,614,246,121,149,98,494,17,120,275,82,481,61,132,165,123,55028,4295,21258,17099,12376,55771,3088,19670,18569,14444,1432,550,396,275,211,1502,493,357,399,253,936,259,677,158,382,238,158,2934,1502,1432,1043,753,674,464,3870,1761,2109,1201,1135,912,622
"26","55025","State Senate District 25 (2018), Wisconsin",57721,4658,20968,19381,12714,57764,3291,18737,21634,14102,615,114,166,288,47,422,176,77,160,9,2325,384,856,879,206,2203,172,789,947,295,301,45,69,74,113,505,84,136,150,135,44,0,6,38,0,75,0,0,75,0,296,106,47,125,18,184,86,67,22,9,594,86,179,263,66,825,69,162,347,247,57118,4524,20847,19154,12593,57279,3189,18627,21434,14029,973,243,173,420,137,741,199,216,227,99,1037,422,615,290,243,448,56,1714,741,973,442,389,647,236,2751,1163,1588,732,632,1095,292
"27","55026","State Senate District 26 (2018), Wisconsin",46156,1155,4744,9851,30406,46228,981,4332,9176,31739,2925,278,894,925,828,3022,247,849,1107,819,353,22,115,108,108,268,49,41,132,46,5213,281,423,487,4022,5129,331,397,458,3943,51,0,36,15,0,9,0,0,9,0,863,267,189,150,257,609,119,139,186,165,1351,64,73,281,933,1253,56,79,180,938,44009,777,4451,9341,29440,43968,570,4049,8654,30695,3191,677,521,693,1300,3076,560,414,776,1326,5947,3022,2925,525,1743,2032,1647,6267,3076,3191,1237,935,1469,2626,12214,6098,6116,1762,2678,3501,4273
"28","55027","State Senate District 27 (2018), Wisconsin",60233,2682,15632,17836,24083,62587,2215,14059,19748,26565,1536,225,629,440,242,551,54,140,168,189,196,27,69,62,38,248,34,56,70,88,912,89,173,38,612,1308,110,84,161,953,13,7,6,0,0,3,0,3,0,0,781,197,250,140,194,493,106,118,95,174,589,44,178,135,232,509,5,142,120,242,59072,2511,15301,17449,23811,61357,2113,13878,19407,25959,1917,460,594,521,342,1651,208,314,436,693,2087,551,1536,279,769,608,431,3568,1651,1917,668,908,957,1035,5655,2202,3453,947,1677,1565,1466
"29","55028","State Senate District 28 (2018), Wisconsin",56863,2977,15636,17852,20398,59391,2251,17128,18256,21756,1762,393,589,611,169,930,77,196,380,277,179,7,55,42,75,235,40,43,106,46,2464,238,502,287,1437,2593,331,405,404,1453,14,0,10,4,0,7,0,0,7,0,1189,278,547,162,202,1126,297,177,407,245,653,16,145,211,281,944,7,152,294,491,54964,2748,14932,17329,19955,57498,1936,16799,17650,21113,3145,538,1215,795,597,2973,529,524,1059,861,2692,930,1762,470,785,991,446,6118,2973,3145,1067,1739,1854,1458,8810,3903,4907,1537,2524,2845,1904
"30","55029","State Senate District 29 (2018), Wisconsin",55817,5104,20878,17199,12636,56651,3830,19657,18442,14722,323,51,71,170,31,195,13,31,115,36,948,161,358,322,107,1032,149,292,481,110,2167,265,628,737,537,2028,487,465,551,525,32,15,7,0,10,25,22,0,3,0,194,69,52,34,39,186,108,14,30,34,676,53,230,305,88,540,60,94,315,71,55275,4859,20790,17042,12584,56085,3596,19582,18277,14630,825,331,164,242,88,909,354,135,273,147,518,195,323,64,102,285,67,1734,909,825,685,299,515,235,2252,1104,1148,749,401,800,302
"31","55030","State Senate District 30 (2018), Wisconsin",51632,4897,17199,16825,12711,54176,3494,17396,17927,15359,1344,171,515,448,210,1298,221,257,520,300,826,162,316,297,51,861,103,304,397,57,1366,262,373,331,400,1478,304,390,344,440,0,0,0,0,0,18,10,8,0,0,2091,1112,622,315,42,1824,836,425,436,127,786,144,255,246,141,894,162,287,255,190,49068,3758,16478,16382,12450,52256,2719,16851,17557,15129,4807,2268,1407,829,303,4057,1695,1120,880,362,2642,1298,1344,392,772,968,510,8864,4057,4807,3963,2527,1709,665,11506,5355,6151,4355,3299,2677,1175
"32","55031","State Senate District 31 (2018), Wisconsin",54950,3965,18792,18926,13267,55089,2658,17110,19203,16118,852,230,167,402,53,208,14,64,80,50,487,62,186,208,31,561,12,318,164,67,931,213,136,241,341,1288,293,276,243,476,174,0,98,68,8,69,1,6,62,0,703,351,229,100,23,303,130,99,39,35,477,31,161,206,79,508,54,97,223,134,54207,3716,18494,18833,13164,54360,2491,16803,19053,16013,1513,611,588,195,119,1110,307,442,208,153,1060,208,852,244,231,482,103,2623,1110,1513,918,1030,403,272,3683,1318,2365,1162,1261,885,375
"33","55032","State Senate District 32 (2018), Wisconsin",53500,3513,17512,17565,14910,55456,3399,15305,18660,18092,789,110,265,278,136,403,65,123,125,90,220,41,37,119,23,221,13,99,102,7,1457,146,221,644,446,1527,338,439,419,331,1,0,0,1,0,19,1,15,3,0,443,144,73,73,153,262,63,21,163,15,309,10,141,70,88,572,29,132,263,148,53031,3478,17409,17320,14824,54924,3275,15226,18482,17941,904,189,149,332,234,845,196,123,362,164,1192,403,789,175,388,403,226,1749,845,904,385,272,694,398,2941,1248,1693,560,660,1097,624
